"大分類カテゴリーコード","大分類カテゴリー","中分類カテゴリーコード","中分類カテゴリー","小分類カテゴリーコード","小分類カテゴリー"
"100000043","ファッション雑貨","200000371","帽子","300002172","キャップ"
"100000043","ファッション雑貨","200000371","帽子","300002173","ニット帽"
"100000043","ファッション雑貨","200000371","帽子","300002174","ハット"
"100000043","ファッション雑貨","200000371","帽子","300002175","ハンチング・キャスケット"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300002376","メッセンジャー・ボディ"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300002377","ショルダー・ボストン"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300002378","トートバッグ"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300002379","ヒップ・ウエストバッグ"
"100000043","ファッション雑貨","200000050","ストール・マフラー","300002382","その他ストール・マフラー"
"100000043","ファッション雑貨","200000051","ベルト","300002383","その他ベルト"
"100000004","腕時計・ジュエリー","200000036","ピアス・イヤリング","300002338","パール"
"100000004","腕時計・ジュエリー","200000036","ピアス・イヤリング","300002339","スワロフスキー"
"100000004","腕時計・ジュエリー","200000037","ネックレス","300002340","ピンク・シルバーゴールド"
"100000004","腕時計・ジュエリー","200000037","ネックレス","300002341","ダイヤモンド"
"100000004","腕時計・ジュエリー","200000037","ネックレス","300002342","パール"
"100000004","腕時計・ジュエリー","200000037","ネックレス","300002343","スワロフスキー"
"100000004","腕時計・ジュエリー","200000038","ブレスレット・アンクレット","300002344","ピンク・シルバーゴールド"
"100000004","腕時計・ジュエリー","200000038","ブレスレット・アンクレット","300002345","ダイヤモンド"
"100000004","腕時計・ジュエリー","200000038","ブレスレット・アンクレット","300002346","パール"
"100000004","腕時計・ジュエリー","200000038","ブレスレット・アンクレット","300002347","スワロフスキー"
"100000004","腕時計・ジュエリー","200000039","指輪・リング","300002348","ピンク・シルバーゴールド"
"100000004","腕時計・ジュエリー","200000039","指輪・リング","300002349","ダイヤモンド"
"100000004","腕時計・ジュエリー","200000039","指輪・リング","300002350","パール"
"100000004","腕時計・ジュエリー","200000039","指輪・リング","300002351","スワロフスキー"
"100000004","腕時計・ジュエリー","200000545","ジュエリーボックス・ケア用品","300002355","ジュエリーボックス・ケア用品"
"100000004","腕時計・ジュエリー","200000036","ピアス・イヤリング","300000781","その他ピアス・イヤリング"
"100000007","ヘア・ボディ・ネイル","200000062","ヘアケア・シャワー","300000782","スタイリング剤"
"100000026","ホビー・コスプレ","200000213","趣味・コレクション","300000785","プラモデル・模型"
"100000004","腕時計・ジュエリー","200000039","指輪・リング","300000098","プラチナ"
"100000004","腕時計・ジュエリー","200000041","コサージュ・ブローチその他","300000100","コサージュ"
"100000004","腕時計・ジュエリー","200000042","ファッション腕時計","300000101","カジュアル"
"100000004","腕時計・ジュエリー","200000042","ファッション腕時計","300000102","フォーマル"
"100000004","腕時計・ジュエリー","200000042","ファッション腕時計","300000103","その他腕時計"
"100000004","腕時計・ジュエリー","200000043","ブランド腕時計","300000104","CASIO"
"100000044","メンズバッグ・シューズ・小物","200000044","メンズジュエリー","300000105","ピアス"
"100000044","メンズバッグ・シューズ・小物","200000044","メンズジュエリー","300000106","ネックレス"
"100000044","メンズバッグ・シューズ・小物","200000044","メンズジュエリー","300000107","ブレスレット・バングル"
"100000044","メンズバッグ・シューズ・小物","200000044","メンズジュエリー","300000108","指輪・リング"
"100000044","メンズバッグ・シューズ・小物","200000044","メンズジュエリー","300000109","その他"
"100000003","バッグ・財布","200000046","財布・ポーチ","300000112","長財布"
"100000003","バッグ・財布","200000047","バッグ","300000113","ハンドバッグ"
"100000003","バッグ・財布","200000047","バッグ","300000115","ショルダーバッグ"
"100000003","バッグ・財布","200000047","バッグ","300000116","トートバッグ"
"100000003","バッグ・財布","200000047","バッグ","300000117","その他バッグ"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300000118","ビジネス・ブリーフケース"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300000119","リュック・デイバッグ"
"100000044","メンズバッグ・シューズ・小物","200000048","メンズバッグ","300000120","その他"
"100000004","腕時計・ジュエリー","200000038","ブレスレット・アンクレット","300000796","その他ブレスレット"
